"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"SICILIA";"AGRIGENTO";"4";"Carriere dei magistrati";461342;227693;"91157";"48474";"54554";15347;"13564"
"SICILIA";"AGRIGENTO";"2";"Obiezione di coscienza";461342;227693;"91175";"48483";"51137";20630;"12189"
"SICILIA";"AGRIGENTO";"5";"Ordine dei giornalisti";461342;227693;"91100";"48437";"44240";24753;"14400"
"SICILIA";"AGRIGENTO";"6";"Incarichi extragiudiziari dei magistrati";461342;227693;"91181";"48491";"56844";13699;"13235"
"SICILIA";"AGRIGENTO";"7";"Ministero per le politiche agricole";461342;227693;"91085";"48423";"43367";26515;"13521"
"SICILIA";"AGRIGENTO";"3";"Caccia";461342;227693;"91124";"48448";"58401";16247;"9977"
"SICILIA";"AGRIGENTO";"1";"Privatizzazione";461342;227693;"91112";"48447";"50390";19178;"13391"
"PIEMONTE";"ALESSANDRIA";"2";"Obiezione di coscienza";380324;180414;"141825";"71766";"92236";34798;"10617"
"PIEMONTE";"ALESSANDRIA";"5";"Ordine dei giornalisti";380324;180414;"140934";"71331";"81611";39504;"14672"
"PIEMONTE";"ALESSANDRIA";"3";"Caccia";380324;180414;"141421";"71517";"104730";24862;"8084"
"PIEMONTE";"ALESSANDRIA";"7";"Ministero per le politiche agricole";380324;180414;"141163";"71445";"86914";37171;"12346"
"PIEMONTE";"ALESSANDRIA";"1";"Privatizzazione";380324;180414;"141351";"71564";"96223";27111;"13198"
"PIEMONTE";"ALESSANDRIA";"6";"Incarichi extragiudiziari dei magistrati";380324;180414;"141599";"71698";"108638";16212;"2"
"PIEMONTE";"ALESSANDRIA";"4";"Carriere dei magistrati";380324;180414;"141504";"71626";"106102";17666;"12922"
"MARCHE";"ANCONA";"7";"Ministero per le politiche agricole";383424;183086;"103649";"53561";"54441";34555;"10541"
"MARCHE";"ANCONA";"6";"Incarichi extragiudiziari dei magistrati";383424;183086;"103746";"53176";"79489";11900;"9277"
"MARCHE";"ANCONA";"5";"Ordine dei giornalisti";383424;183086;"102884";"52783";"55845";32326;"11497"
"MARCHE";"ANCONA";"4";"Carriere dei magistrati";383424;183086;"103371";"53056";"75585";14182;"10445"
"MARCHE";"ANCONA";"3";"Caccia";383424;183086;"103602";"53078";"76746";18223;"6224"
"MARCHE";"ANCONA";"1";"Privatizzazione";383424;183086;"103958";"53712";"62696";26524;"10662"
"MARCHE";"ANCONA";"2";"Obiezione di coscienza";383424;183086;"104099";"53391";"66597";27572;"7404"
"VALLE D'AOSTA";"AOSTA";"5";"Ordine dei giornalisti";101990;50017;"30893";"15947";"16979";8022;"3472"
"VALLE D'AOSTA";"AOSTA";"4";"Carriere dei magistrati";101990;50017;"31067";"16051";"22428";3280;"3007"
"VALLE D'AOSTA";"AOSTA";"1";"Privatizzazione";101990;50017;"30986";"16022";"19849";5585;"3120"
"VALLE D'AOSTA";"AOSTA";"3";"Caccia";101990;50017;"31153";"16075";"22658";4554;"1757"
"VALLE D'AOSTA";"AOSTA";"6";"Incarichi extragiudiziari dei magistrati";101990;50017;"31101";"16068";"23109";2872;"2774"
"VALLE D'AOSTA";"AOSTA";"7";"Ministero per le politiche agricole";101990;50017;"30993";"16007";"19012";6792;"2824"
"VALLE D'AOSTA";"AOSTA";"2";"Obiezione di coscienza";101990;50017;"31220";"16112";"20523";6182;"2260"
